Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.08,Random House,375,2012,7/11/19,to-read
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,4.01,Warner Books,168,2003,7/11/19,to-read
The Art of War,Sun Tzu,3.97,Shambhala,273,2005,7/11/19,to-read
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,3.98,Grand Central Publishing,246,2010,7/11/19,to-read
The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book,Miguel Ruiz,4.27,Amber-Allen Publishing,240,2002,7/11/19,to-read
Originals: How Non-Conformists Move the World,Adam M. Grant,3.97,Viking,326,2016,7/11/19,to-read
Autobiography of a Yogi,Paramahansa Yogananda,4.23,Self-Realization Fellowship Publishers,448,1994,7/11/19,to-read
The 4-Hour Workweek,Timothy Ferriss,3.87,Harmony Books,308,2007,7/11/19,to-read
The Magic of Thinking Big,David J. Schwartz,4.23,Touchstone,320,1987,7/11/19,to-read
"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,4.38,Ace Books,342,2010,2/22/17,read
"Moon Called (Mercy Thompson, #1)",Patricia Briggs,4.17,Ace Books,289,2006,2/22/17,read
"Bone Crossed (Mercy Thompson, #4)",Patricia Briggs,4.34,Ace,303,2009,2/22/17,read
"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,4.37,Ace Books,287,2008,2/22/17,read
"Blood Bound (Mercy Thompson, #2)",Patricia Briggs,4.31,Ace,292,2007,2/22/17,read
"River Marked (Mercy Thompson, #6)",Patricia Briggs,4.28,Orbit,326,2011,2/22/17,currently-reading
"The Autumn Republic (Powder Mage, #3)",Brian  McClellan,4.37,Orbit,580,2015,8/3/16,read
"The Crimson Campaign (Powder Mage, #2)",Brian  McClellan,4.36,Orbit,596,2014,8/1/16,read
"Promise of Blood (Powder Mage, #1)",Brian  McClellan,4.15,Orbit,545,2013,11/4/13,read
"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,4.11,Del Rey,304,2011,4/17/14,to-read
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,Bantam,1177,2003,8/9/15,to-read
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,Hyperion Books for Children,361,2008,10/4/14,to-read
"Allegiant (Divergent, #3)",Veronica Roth,3.63,Katherine Tegen Books,526,2013,12/20/13,read
"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,4.26,Harper Voyager,592,2013,7/29/13,to-read
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,Bantam,784,2002,6/10/15,read
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,Bantam,835,2005,12/30/12,read
"If I Stay (If I Stay, #1)",Gayle Forman,3.95,Speak,261,2010,7/15/14,read
"The Ruby Circle (Bloodlines, #6)",Richelle Mead,4.23,Razorbill,348,2015,2/24/15,read
"Silver Shadows (Bloodlines, #5)",Richelle Mead,4.36,Razorbill,380,2014,1/4/15,read
"The Fiery Heart (Bloodlines, #4)",Richelle Mead,4.37,Penguin Group,420,2013,1/2/15,read
"The Indigo Spell (Bloodlines, #3)",Richelle Mead,4.39,Razorbill / Penguin Group,401,2013,1/2/15,read
