Reader,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Katrina,The Horrors and Absurdities of Religion,Arthur Schopenhauer,141191597,0,3.88,Penguin Classics,106,2009,1/29/17,to-read,to-read (#25),to-read
Katrina,The Gulag Archipelago 1918–1956 (Abridged),Aleksandr I. Solzhenitsyn,60007761,0,4.23,HarperCollins,472,2002,1/29/17,to-read,to-read (#24),to-read
Katrina,Wild Swans: Three Daughters of China,Jung Chang,743246985,5,4.25,Simon  Schuster,562,2003,2/24/16,,,read
Katrina,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,162779073X,0,4.08,Metropolitan Books/Henry Holt (NY),260,2014,1/8/17,to-read,to-read (#23),to-read
Katrina,What Do You Want to Do Before You Die?,The Buried Life,1579654762,5,4.05,Artisan,224,2012,1/4/17,,,read
Katrina,What Do You Care What Other People Think?,Richard P. Feynman,393320928,5,4.27,W.W. Norton & Company,256,2001,3/15/16,,,read
Katrina,The Pursuit of Happyness,Chris Gardner,60744871,0,4.19,Amistad,320,2006,3/6/16,,,read
Katrina,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,393316041,5,4.27,W. W. Norton & Company,391,1997,3/15/16,,,read
Katrina,My Life as an Explorer,Roald Amundsen,1848680597,0,3.69,Amberley Publishing,160,2008,11/30/16,,,read
Katrina,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,1594200823,0,4.18,The Penguin Press,450,2006,3/10/16,,,read
Katrina,In Defense of Food: An Eater's Manifesto,Michael Pollan,1594201455,5,4.08,Penguin Press,205,2008,12/14/16,,,read
Katrina,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,670023329,0,4,Viking,205,2012,12/14/16,to-read,to-read (#22),to-read
Katrina,The Apprentice: My Life in the Kitchen,Jacques Pépin,618444114,0,4.18,Rux Martin/Houghton Mifflin Harcourt,352,2004,10/9/16,,,read
